partition	depth	element_type	element_name	name_hash	h_anchor_start	h_anchor_end	h_offset_start	h_offset_end	h_pivot	h_weight	v_anchor_start	v_anchor_end	v_offset_start	v_offset_end	v_pivot	v_weight	stack_orientation	item_spacing	pad_l	pad_t	pad_r	pad_b	references_widget
common/ui/weapons/screens/menuweaponscreen	0	RimeLayerEntityData	Default																				
common/ui/weapons/screens/menuweaponscreen	1	RimeWidgetReference?	CL_ReadabilityFadeBackgroundVisual	184326201	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual.ebx
common/ui/weapons/screens/menuweaponscreen	1	RimeWidgetReference?	MetaCustomization_AbilityStatsView	3025473044	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/metacore/metacustomization/views/metacustomization_abilitystatsview.ebx
common/ui/weapons/screens/menuweaponscreen	1	RimeWidgetReference?	MetaCustomization_InfoView	3141042201	0	1	0	0	0.5	0	1	1	-20	20	1	1							common/ui/metacore/metacustomization/views/metacustomization_infoview.ebx
common/ui/weapons/screens/menuweaponscreen	1	RimeContainerElementData	ScreenContainer	3791800302	1	1	0	0	1	1	0.5	0.5	0	0	0.5	1			0	0	0	0	
common/ui/weapons/screens/menuweaponscreen	2	RimeWidgetReference?	MetaCustomization_GridView	2300164911	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/metacore/metacustomization/views/metacustomization_gridview.ebx
common/ui/weapons/screens/menuweaponscreen	2	RimeWidgetReference?	BP_GreebleLine	3697701624	0	0	16	-16	0	1	0	1	88	398	0.5	0							common/ui/componentlibrary/components/decorators/sectioning/cl_greebleline.ebx
common/ui/weapons/screens/menuweaponscreen	2	RimeWidgetReference?	MetaCustomization_FilterTabsView	1015321939	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/metacore/metacustomization/metacustomization_filtertabsview.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	0	RimeLayerEntityData	Default																				
common/ui/weapons/screens/weaponattachmentselectionscreen	1	RimeWidgetReference?	CL_ReadabilityFadeBackgroundVisual	1787797369	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	1	RimeContainerElementData	Grid and Stats Container	3130157648	0	1	0	0	0.5	0	0.5	0.5	0	0	0.5	1			0	0	0	0	
common/ui/weapons/screens/weaponattachmentselectionscreen	2	RimeContainerElementData	Centre Screen Container	185685413	1	1	-60	60	1	1	0	1	0	0	0.5	0			0	0	0	0	
common/ui/weapons/screens/weaponattachmentselectionscreen	3	RimeContainerElementData	Selection Tab and Grid	834001921	0	1	142	0	0.5	0	0	0	48	-48	0	1			0	0	0	0	
common/ui/weapons/screens/weaponattachmentselectionscreen	4	RimeContainerElementData	Grid Container	4259681466	0	1	70	0	0.5	0	0	1	0	0	0.5	0			0	0	0	0	
common/ui/weapons/screens/weaponattachmentselectionscreen	5	unk_6cc27f98-68ca-c25c-4e3d-fef09567419b																					
common/ui/weapons/screens/weaponattachmentselectionscreen	5	RimeWidgetReference?	Scrollbar FadeOuts	1620702210	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/componentlibrary/temp/interactable/scrollbar/cl_defaultscrollbarverticalfadeouts_legacy.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	5	RimeWidgetReference?	Scrollbar Vertical - Always on top	1806801405	0	1	0	25	0.5	0	0	1	0	2	0.5	0							common/ui/componentlibrary/components/scrolling/widgets/cl_scrollbarvertical.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	5	RimeWidgetReference?	[BP_GreebleLine] Left	599209029	0	0	-16	16	0	1	0	1	0	-12	0.5	0							common/ui/componentlibrary/components/decorators/sectioning/cl_greebleline.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	2	RimeWidgetReference?	Weapon Attachment Info	3951666672	0	0	66	-66	0	1	1	1	-498	498	1	1							common/ui/weapons/widgets/weaponinfoheader.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	2	RimeWidgetReference?	Point Cost  Header Version	1251306503	0	0	64	-64	0	1	0	0	128	-128	0	1							common/ui/weapons/widgets/weaponpointcost_header.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	2	RimeWidgetReference?	BP_GreebleLine	2412711160	0	0	32	-32	0	1	0	1	88	410	0.5	0							common/ui/componentlibrary/components/decorators/sectioning/cl_greebleline.ebx
common/ui/weapons/screens/weaponattachmentselectionscreen	1	RimeWidgetReference?	MetaCustomization_AbilityStatsView	1056362676	0.5	0.5	0	0	0.5	1	1	1	0	0	1	1							common/ui/metacore/metacustomization/views/metacustomization_abilitystatsview.ebx
common/ui/weapons/screens/menuweaponpackagesscreen	0	RimeLayerEntityData	Default																				
common/ui/weapons/screens/menuweaponpackagesscreen	1	RimeWidgetReference?	CL_ReadabilityFadeBackgroundVisual	184326201	0	1	0	0	0.5	0	0	1	0	0	0.5	0							common/ui/componentlibrary/shared/visual/cl_readabilityfadebackgroundvisual.ebx
common/ui/weapons/screens/menuweaponpackagesscreen	1	RimeContainerElementData	ScreenContainer	3791800302	1	1	0	0	1	1	0.5	0.5	0	0	0.5	1			0	0	0	0	
